Model,Volatility Regime,N,MSE,MAE,MAPE,R2,QLIKE,Directional Accuracy
random_forest_bayesoptimization_h22_senza_PM,High (>30),1,207.2750735413628,14.397050862637208,0.4636731470218615,,0.24152314451139656,0.0
random_forest_gridsearch_h22_con_PM,Low (<20),64,8.055779771427245,2.255878212884117,0.13197883725147247,-4.157326242063275,0.010525955633729552,62.5
random_forest_gridsearch_h22_con_PM,Medium (20-30),28,23.745842868637002,4.1469272882818276,0.16844189501985202,-2.4604865210461573,0.026574664897243343,64.28571428571429
random_forest_gridsearch_h22_con_PM,High (>30),1,142.8087331379649,11.95026079790583,0.38487153270235736,,0.1397525296256279,0.0
random_forest_gridsearch_h22_senza_PM,Low (<20),64,7.313987586697488,2.217020315600001,0.12975833366545164,-3.6824294091044925,0.010031610429046291,57.8125
random_forest_gridsearch_h22_senza_PM,Medium (20-30),28,26.619365530642593,4.367614407539291,0.17680117279747037,-2.8792455642521815,0.03065195374207552,60.71428571428571
random_forest_gridsearch_h22_senza_PM,High (>30),1,154.0676517379209,12.412399112900008,0.3997552147089846,,0.15556925333815386,0.0
tft_bayesoptimization_h22_con_PM,Low (<20),51,3.4358976845894564,1.539653198796483,0.08605488206824027,-1.3995768600635836,0.0055377866476587065,60.78431372549019
tft_bayesoptimization_h22_con_PM,Medium (20-30),27,61.20792801981046,7.263211497325665,0.29842226149285905,-8.176486057637177,0.08647651749034736,48.148148148148145
tft_bayesoptimization_h22_con_PM,High (>30),1,207.64968981401532,14.410055163461912,0.46409196509410006,,0.24219909314681254,0.0
tft_bayesoptimization_h22_senza_PM,Low (<20),51,15.95852368602315,3.207378032683202,0.18699055980129353,-10.145181746683281,0.019667847035544535,52.94117647058824
tft_bayesoptimization_h22_senza_PM,Medium (20-30),27,61.42410471285062,7.142795809930283,0.2923760731314683,-8.208895950829888,0.08781105946099554,51.85185185185185
tft_bayesoptimization_h22_senza_PM,High (>30),1,203.6809282939312,14.271682742197264,0.4596355262969489,,0.23509136929360874,0.0
tft_gridsearch_h22_con_PM,Low (<20),51,6.618702488365351,2.073484009937481,0.11951185005883201,-3.6223976359832877,0.009922059523762142,56.86274509803921
tft_gridsearch_h22_con_PM,Medium (20-30),27,55.27192145126767,6.862645113681278,0.28281271947937653,-7.286541188131951,0.07635358998370984,51.85185185185185
tft_gridsearch_h22_con_PM,High (>30),1,172.12421228842155,13.119611743051756,0.42253178950647075,,0.1825951710559015,0.0
tft_gridsearch_h22_senza_PM,Low (<20),51,6.003672696035661,1.914355090988866,0.11005678045235796,-3.1928705099156867,0.008825921494810362,64.70588235294117
tft_gridsearch_h22_senza_PM,Medium (20-30),27,58.82291619464156,7.036548649594817,0.2883504314290671,-7.818917545370621,0.08218772355636518,48.148148148148145
tft_gridsearch_h22_senza_PM,High (>30),1,207.3323044762858,14.399038317758787,0.4637371552399042,,0.24162634230421665,0.0
xgboost_bayesoptimization_h22_con_PM,Low (<20),64,6.166762142461116,1.9159812187499998,0.11377831063905455,-2.9479733965272406,0.008642260679448302,59.375
xgboost_bayesoptimization_h22_con_PM,Medium (20-30),28,36.37575830301806,5.142850476428571,0.2074406771974353,-4.301046671486382,0.044344330474630045,64.28571428571429
xgboost_bayesoptimization_h22_con_PM,High (>30),1,194.9502680286613,13.962459239999998,0.4496766370935344,,0.21986423704490843,0.0
xgboost_bayesoptimization_h22_senza_PM,Low (<20),64,4.501596016615127,1.6706946387500001,0.09894323615301326,-1.8819307287919416,0.006658279279872788,62.5
xgboost_bayesoptimization_h22_senza_PM,Medium (20-30),28,35.88451379367176,5.214114476428572,0.21177049530165984,-4.229457509015504,0.04405717184931623,50.0
xgboost_bayesoptimization_h22_senza_PM,High (>30),1,178.83630629398618,13.37296924,0.4306914514436555,,0.19318402021006076,0.0
xgboost_gridsearch_h22_con_PM,Low (<20),64,5.7488663634634944,1.8749716200000002,0.11159427534925753,-2.6804356871280586,0.008153786959445849,62.5
xgboost_gridsearch_h22_con_PM,Medium (20-30),28,34.55802018661736,5.003397226428571,0.2016393772401592,-4.036147325297898,0.04149873475022105,64.28571428571429
xgboost_gridsearch_h22_con_PM,High (>30),1,188.51628418558803,13.730123239999998,0.44219399600861303,,0.20899392402727646,0.0
xgboost_gridsearch_h22_senza_PM,Low (<20),64,4.371828556897896,1.6680714471875,0.09902899318805881,-1.798853342821273,0.006504853746100176,65.625
xgboost_gridsearch_h22_senza_PM,Medium (20-30),28,34.579181343625784,5.082609547857143,0.20607846667696753,-4.0392311450217315,0.04209376192761837,53.57142857142857
xgboost_gridsearch_h22_senza_PM,High (>30),1,168.54876584435286,12.982633239999998,0.4181202434064858,,0.17707666472110706,0.0
