Date,cut_50,cut_25,hold,hike_25,expected_rate_change_fomc,rate_uncertainty_fomc,probability_cut_fomc,probability_hike_fomc,entropy_fomc,us_recession,entropy_us_recession,change_1d,change_5d,cpi_<=2.7,cpi_2.8,cpi_2.9,cpi_>=3.0,expected_cpi,uncertainty_cpi,entropy_cpi
2025-08-29,0.0395,0.775,0.175,0.0055,-21.212500000000002,11.590620905229798,0.8145,0.0055,0.9504765175873784,0.105,0.48464773973144537,0.0049999999999999906,-0.0050000000000000044,0.033,0.034,0.305,0.21,1.6987999999999999,0.9327075630013945,1.3235931955247826
2025-08-30,0.046,0.805,0.145,0.0055,-22.2875,11.206022609935024,0.8510000000000001,0.0055,0.9014952158891933,0.105,0.48464773973144537,0.0,-0.010000000000000009,0.037,0.0325,0.335,0.205,1.7774,0.8911121524364931,1.3338895820606096
2025-08-31,0.0545,0.795,0.145,0.0055,-22.462500000000002,11.48906409373714,0.8495,0.0055,0.9371297621205583,0.09,0.43646981706410287,-0.015,-0.020000000000000004,0.037,0.031,0.335,0.205,1.7731999999999999,0.8934989479120834,1.328587773935048
2025-09-01,0.042,0.815,0.145,0.0055,-22.337500000000002,11.072074017404102,0.857,0.0055,0.8778518000541455,0.08,0.4021791902022728,-0.009999999999999995,-0.024999999999999994,0.0385,0.029,0.345,0.2,1.78565,0.886209643668613,1.3231127754005216
2025-09-02,0.046,0.815,0.135,0.0045,-22.5625,10.880056385567356,0.861,0.0045,0.8699637156859145,0.08,0.4021791902022728,0.0,-0.020000000000000004,0.024,0.02,0.345,0.2,1.7213,0.9233608305586716,1.2360919134713608
2025-09-03,0.046,0.825,0.125,0.0035,-22.837500000000002,10.535668846678648,0.871,0.0035,0.8368622596962989,0.085,0.41955649623854696,0.0050000000000000044,-0.01999999999999999,0.018,0.0265,0.31,0.24,1.7418,0.9175944606306208,1.2610579065786662
2025-09-04,0.055,0.855,0.085,0.0035,-24.0375,9.767005254458757,0.91,0.0035,0.7542244308361938,0.085,0.41955649623854696,0.0,-0.01999999999999999,0.0165,0.03,0.33,0.22,1.7455500000000002,0.9134538683979885,1.2578656372867205
2025-09-05,0.0565,0.875,0.065,0.0035,-24.6125,9.194419163275079,0.9315,0.0035,0.687667717331848,0.075,0.38431154412649704,-0.010000000000000009,-0.015,0.02,0.031,0.29,0.25,1.7318,0.9230190045930798,1.2861401574457003
2025-09-06,0.1025,0.875,0.019,0.0025,-26.9375,8.850591214362462,0.9775,0.0025,0.6356595413057403,0.075,0.38431154412649704,0.0,-0.0050000000000000044,0.0125,0.0165,0.325,0.2,1.6224500000000002,0.9733270634195885,1.1680963803336124
2025-09-07,0.1045,0.865,0.029,0.0025,-26.7875,9.305101498976247,0.9695,0.0025,0.6912235515650437,0.085,0.41955649623854696,0.010000000000000009,0.0050000000000000044,0.0175,0.0295,0.325,0.185,1.6273499999999999,0.9672922224087714,1.2294396835359132
2025-09-08,0.093,0.865,0.037,0.0025,-26.2125,9.266855230301971,0.958,0.0025,0.6972522407685601,0.08,0.4021791902022728,-0.0050000000000000044,-0.0050000000000000044,0.02,0.045,0.34,0.17,1.676,0.9408555680868345,1.2779646350178897
2025-09-09,0.175,0.795,0.0315,0.0025,-28.5625,11.107851249229078,0.97,0.0025,0.8819215545160964,0.09,0.43646981706410287,0.009999999999999995,0.0049999999999999906,0.0155,0.035,0.305,0.225,1.69935,0.9371373940150132,1.2691591039211119
2025-09-10,0.1455,0.815,0.0395,0.0025,-27.5875,10.748023964460863,0.9604999999999999,0.0025,0.8509103801588446,0.09,0.43646981706410287,0.0,0.015,0.011,0.028,0.305,0.195,1.5776,0.9917617701040912,1.1984056757317418
2025-09-11,0.149,0.825,0.0265,0.0015,-28.037499999999998,10.22415260852947,0.974,0.0015,0.7910859028506707,0.085,0.41955649623854696,-0.0049999999999999906,0.010000000000000009,0.011,0.045,0.395,0.17,1.8112,0.8724710529524747,1.2368134514814373
2025-09-12,0.113,0.865,0.0245,0.0015,-27.237499999999997,9.227600954473488,0.978,0.0015,0.6816081451325796,0.125,0.5435644431995964,0.039999999999999994,0.039999999999999994,0.085,0.2,0.37,0.085,2.1174999999999997,0.6440140720512249,1.5997015331605546
2025-09-13,0.0735,0.905,0.023,0.0015,-26.2625,7.915980701640827,0.9785,0.0015,0.5463808977468436,0.105,0.48464773973144537,-0.020000000000000004,0.024999999999999994,0.045,0.305,0.395,0.0305,2.2125,0.5670812744880578,1.4067268847171555
2025-09-14,0.0725,0.905,0.021,0.0015,-26.2125,7.792133453040957,0.9775,0.0015,0.5359193123232047,0.095,0.4529425481872832,-0.009999999999999995,0.0050000000000000044,0.045,0.31,0.395,0.0335,2.2354999999999996,0.549990550714283,1.4185910511720972
2025-09-15,0.0685,0.905,0.0275,0.0015,-26.0125,7.9280495167869,0.9735,0.0015,0.5519132581345725,0.095,0.4529425481872832,0.0,0.0050000000000000044,0.05,0.31,0.395,0.031,2.2415000000000003,0.5443553880508575,1.4245799939881936
2025-09-16,0.068,0.905,0.024,0.0015,-25.987499999999997,7.758821979890053,0.9730000000000001,0.0015,0.5372661375783175,0.095,0.4529425481872832,0.0,0.009999999999999995,0.055,0.315,0.415,0.033,2.333,0.4735031172019882,1.44407970549168
2025-09-17,0.0445,0.945,0.0155,0.0005,-25.837500000000002,6.187306682586131,0.9894999999999999,0.0005,0.3755947771812563,0.08,0.4021791902022728,-0.015,-0.045,0.055,0.335,0.405,0.03,2.351,0.45709826624042227,1.438584612545835
2025-09-18,0.0735,0.785,0.145,0.0075,-23.1125,12.278066133098893,0.8585,0.0075,1.007852654562161,0.055,0.30726835986075973,-0.025,-0.049999999999999996,0.06,0.345,0.41,0.0355,2.4234999999999998,0.3979718440103522,1.4715771045043364
