Date,Close,VIX_log
17/09/2018,13.68000031,2.615934935
18/09/2018,12.78999996,2.548663613
19/09/2018,11.75,2.463853241
20/09/2018,11.80000019,2.468099548
21/09/2018,11.68000031,2.457878004
24/09/2018,12.19999981,2.501435936
25/09/2018,12.42000008,2.519308083
26/09/2018,12.89000034,2.556451844
27/09/2018,12.40999985,2.518502587
28/09/2018,12.11999989,2.494856971
01/10/2018,12,2.48490665
02/10/2018,12.05000019,2.489064676
03/10/2018,11.60999966,2.451866766
04/10/2018,14.22000027,2.654649443
05/10/2018,14.81999969,2.695977599
08/10/2018,15.68999958,2.75302354
09/10/2018,15.94999981,2.769458817
10/10/2018,22.95999908,3.133753532
11/10/2018,24.97999954,3.218075486
12/10/2018,21.30999947,3.059176421
15/10/2018,21.29999924,3.058707037
16/10/2018,17.62000084,2.869034668
17/10/2018,17.39999962,2.856470184
18/10/2018,20.05999947,2.998727756
19/10/2018,19.88999939,2.990217062
22/10/2018,19.63999939,2.977568272
23/10/2018,20.70999908,3.030616631
24/10/2018,25.22999954,3.228033745
25/10/2018,24.21999931,3.18717871
26/10/2018,24.15999985,3.184698367
29/10/2018,24.70000076,3.206803275
30/10/2018,23.35000038,3.150597
31/10/2018,21.22999954,3.055415254
01/11/2018,19.34000015,2.962175498
02/11/2018,19.51000023,2.970927166
05/11/2018,19.95999908,2.993730225
06/11/2018,19.90999985,2.99122211
07/11/2018,16.36000061,2.794839368
08/11/2018,16.71999931,2.816605567
09/11/2018,17.36000061,2.854168744
12/11/2018,20.45000076,3.01798292
13/11/2018,20.02000046,2.996731797
14/11/2018,21.25,3.056356895
15/11/2018,19.97999954,2.99473175
16/11/2018,18.13999939,2.898119411
19/11/2018,20.10000038,3.000719834
20/11/2018,22.47999954,3.112626005
21/11/2018,20.79999924,3.03495295
23/11/2018,21.52000046,3.068982757
26/11/2018,18.89999962,2.939161902
27/11/2018,19.02000046,2.945491081
28/11/2018,18.48999977,2.917230033
29/11/2018,18.79000092,2.933324862
30/11/2018,18.06999969,2.894253088
03/12/2018,16.44000053,2.799717422
04/12/2018,20.73999977,3.032064192
06/12/2018,21.19000053,3.053529397
07/12/2018,23.22999954,3.145444527
10/12/2018,22.63999939,3.119718226
