timestamp_unix,datetime_utc,us_recession_2025_no
1759881612,2025-10-08T00:00:12+00:00,0.945
1759968012,2025-10-09T00:00:12+00:00,0.94
1760054412,2025-10-10T00:00:12+00:00,0.94
1760140814,2025-10-11T00:00:14+00:00,0.935
1760227215,2025-10-12T00:00:15+00:00,0.935
1760313617,2025-10-13T00:00:17+00:00,0.945
1760400012,2025-10-14T00:00:12+00:00,0.945
1760486404,2025-10-15T00:00:04+00:00,0.945
1760572809,2025-10-16T00:00:09+00:00,0.945
1760659213,2025-10-17T00:00:13+00:00,0.94
1760745621,2025-10-18T00:00:21+00:00,0.945
1760832019,2025-10-19T00:00:19+00:00,0.945
1760918411,2025-10-20T00:00:11+00:00,0.945
1761004820,2025-10-21T00:00:20+00:00,0.945
1761091211,2025-10-22T00:00:11+00:00,0.95
1761177607,2025-10-23T00:00:07+00:00,0.94
1761264009,2025-10-24T00:00:09+00:00,0.945
1761350410,2025-10-25T00:00:10+00:00,0.95
1761436811,2025-10-26T00:00:11+00:00,0.955
1761523210,2025-10-27T00:00:10+00:00,0.955
1761609612,2025-10-28T00:00:12+00:00,0.955
1761696011,2025-10-29T00:00:11+00:00,0.955
1761782411,2025-10-30T00:00:11+00:00,0.955
1761868807,2025-10-31T00:00:07+00:00,0.96
1761955210,2025-11-01T00:00:10+00:00,0.964
1762041609,2025-11-02T00:00:09+00:00,0.963
1762128009,2025-11-03T00:00:09+00:00,0.964
1762214410,2025-11-04T00:00:10+00:00,0.9675
1762300809,2025-11-05T00:00:09+00:00,0.9555
1762387206,2025-11-06T00:00:06+00:00,0.954
1762473609,2025-11-07T00:00:09+00:00,0.9605
1762560008,2025-11-08T00:00:08+00:00,0.954
1762646422,2025-11-09T00:00:22+00:00,0.9595
1762732807,2025-11-10T00:00:07+00:00,0.9645
1762819211,2025-11-11T00:00:11+00:00,0.9575
1762905611,2025-11-12T00:00:11+00:00,0.964
1762992009,2025-11-13T00:00:09+00:00,0.961
1763078410,2025-11-14T00:00:10+00:00,0.9565
1763164811,2025-11-15T00:00:11+00:00,0.9605
1763251208,2025-11-16T00:00:08+00:00,0.96
1763337609,2025-11-17T00:00:09+00:00,0.9605
1763424008,2025-11-18T00:00:08+00:00,0.9585
1763510411,2025-11-19T00:00:11+00:00,0.9595
1763596808,2025-11-20T00:00:08+00:00,0.9585
1763683211,2025-11-21T00:00:11+00:00,0.9615
1763769609,2025-11-22T00:00:09+00:00,0.959
1763856009,2025-11-23T00:00:09+00:00,0.9585
1763942411,2025-11-24T00:00:11+00:00,0.9615
1764028810,2025-11-25T00:00:10+00:00,0.968
1764115210,2025-11-26T00:00:10+00:00,0.97
1764201611,2025-11-27T00:00:11+00:00,0.965
1764288011,2025-11-28T00:00:11+00:00,0.9775
1764374413,2025-11-29T00:00:13+00:00,0.9765
1764460811,2025-11-30T00:00:11+00:00,0.9795
1764547211,2025-12-01T00:00:11+00:00,0.977
1764633609,2025-12-02T00:00:09+00:00,0.9845
1764720012,2025-12-03T00:00:12+00:00,0.978
1764806410,2025-12-04T00:00:10+00:00,0.985
1764892810,2025-12-05T00:00:10+00:00,0.9805
1764979211,2025-12-06T00:00:11+00:00,0.982
1765065624,2025-12-07T00:00:24+00:00,0.978
1765152023,2025-12-08T00:00:23+00:00,0.9855
1765238421,2025-12-09T00:00:21+00:00,0.9815
1765324810,2025-12-10T00:00:10+00:00,0.9815
1765411210,2025-12-11T00:00:10+00:00,0.985
1765497610,2025-12-12T00:00:10+00:00,0.9895
1765584012,2025-12-13T00:00:12+00:00,0.9905
1765670412,2025-12-14T00:00:12+00:00,0.9895
1765756811,2025-12-15T00:00:11+00:00,0.989
1765843210,2025-12-16T00:00:10+00:00,0.9935
1765929607,2025-12-17T00:00:07+00:00,0.993
1765929632,2025-12-17T00:00:32+00:00,0.993
1766016020,2025-12-18T00:00:20+00:00,0.9915
1766102411,2025-12-19T00:00:11+00:00,0.9915
1766188810,2025-12-20T00:00:10+00:00,0.9895
1766275211,2025-12-21T00:00:11+00:00,0.9945
1766361610,2025-12-22T00:00:10+00:00,0.9965
1766448012,2025-12-23T00:00:12+00:00,0.9935
1766534411,2025-12-24T00:00:11+00:00,0.9945
1766620821,2025-12-25T00:00:21+00:00,0.9935
1766707209,2025-12-26T00:00:09+00:00,0.994
1766793612,2025-12-27T00:00:12+00:00,0.996
1766880012,2025-12-28T00:00:12+00:00,0.9965
1766966428,2025-12-29T00:00:28+00:00,0.997
1767052815,2025-12-30T00:00:15+00:00,0.9975
1767139212,2025-12-31T00:00:12+00:00,0.9975
1767225612,2026-01-01T00:00:12+00:00,0.9985
