timestamp_unix,datetime_utc,decreases_25_september_2025_yes
1754352008,2025-08-05T00:00:08+00:00,0.735
1754438409,2025-08-06T00:00:09+00:00,0.745
1754524806,2025-08-07T00:00:06+00:00,0.785
1754611207,2025-08-08T00:00:07+00:00,0.755
1754697608,2025-08-09T00:00:08+00:00,0.755
1754784010,2025-08-10T00:00:10+00:00,0.755
1754870412,2025-08-11T00:00:12+00:00,0.755
1754956805,2025-08-12T00:00:05+00:00,0.73
1755043210,2025-08-13T00:00:10+00:00,0.805
1755129607,2025-08-14T00:00:07+00:00,0.795
1755216005,2025-08-15T00:00:05+00:00,0.72
1755302404,2025-08-16T00:00:04+00:00,0.665
1755388808,2025-08-17T00:00:08+00:00,0.695
1755475205,2025-08-18T00:00:05+00:00,0.715
1755561614,2025-08-19T00:00:14+00:00,0.705
1755648008,2025-08-20T00:00:08+00:00,0.695
1755734403,2025-08-21T00:00:03+00:00,0.685
1755820809,2025-08-22T00:00:09+00:00,0.605
1755907205,2025-08-23T00:00:05+00:00,0.785
1755993608,2025-08-24T00:00:08+00:00,0.775
1756080011,2025-08-25T00:00:11+00:00,0.805
1756166402,2025-08-26T00:00:02+00:00,0.755
1756252806,2025-08-27T00:00:06+00:00,0.775
1756339206,2025-08-28T00:00:06+00:00,0.775
1756425602,2025-08-29T00:00:02+00:00,0.775
1756512010,2025-08-30T00:00:10+00:00,0.805
1756598416,2025-08-31T00:00:16+00:00,0.795
1756684810,2025-09-01T00:00:10+00:00,0.815
1756771215,2025-09-02T00:00:15+00:00,0.815
1756857608,2025-09-03T00:00:08+00:00,0.825
1756944011,2025-09-04T00:00:11+00:00,0.855
1757030408,2025-09-05T00:00:08+00:00,0.875
1757116818,2025-09-06T00:00:18+00:00,0.875
1757203205,2025-09-07T00:00:05+00:00,0.865
1757289609,2025-09-08T00:00:09+00:00,0.865
1757376007,2025-09-09T00:00:07+00:00,0.795
1757462409,2025-09-10T00:00:09+00:00,0.815
1757548802,2025-09-11T00:00:02+00:00,0.825
1757635205,2025-09-12T00:00:05+00:00,0.865
1757721612,2025-09-13T00:00:12+00:00,0.905
1757808021,2025-09-14T00:00:21+00:00,0.905
1757894410,2025-09-15T00:00:10+00:00,0.905
1757980821,2025-09-16T00:00:21+00:00,0.905
1758067210,2025-09-17T00:00:10+00:00,0.945
